






























































63		210	84	6	0.88,0.91,0.88,0.85,0.9,0.77
64		170	100	4	0.67,0.81,0.95,0.83
65		406	282	3	1.77,2.57,2.62
66		120	90	3	0.68,0.89,0.79
67		326	130	5	1.36,1.41,1.21,1.37,1.03
68		256	192	5	1.17,1.33,1.15,1.38,1.12
69		160	120	3	1.27,1.16,1.19
70		256	170	3	1.51,1.51,1.52
71		116	86	3	0.7,0.73,0.69
72		250	116	6	0.88,0.91,0.88,0.85,1.2,0.91
73		188	140	3	1.06,1.36,1.09
74		134	100	3	0.88,1.02,0.88

























